Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
238.6,0.12667,0.835271632
238.8,0.099079,0.653988217
239,0.4014,2.652159328
239.2,0.23447,1.550754487
239.4,0.42415,2.808072667
239.6,0.52588,3.485043641
239.8,0.086303,0.572505606
240,0.34597,2.297334136
240.2,0.14737,0.979549237
240.4,0.2515,1.673347848
240.6,0.24971,1.663086425
240.8,0.25404,1.693601475
241,0.63006,4.204562911
241.2,0.54834,3.662842911
241.4,0.34789,2.326158607
241.6,0.26377,1.765433582
241.8,0.35064,2.349176468
242,0.6903,4.629348248
242.2,0.67604,4.538180464
242.4,0.59923,4.026520388
242.6,0,0
242.8,0,0
243,0.22249,1.499427211
243.2,0.088366,0.596108703
243.4,0.34934,2.35892186
243.6,0.34962,2.363121653
243.8,0.7841,5.305000589
244,0.1779,1.204796514
244.2,0.33202,2.250740221
244.4,0,0
244.6,0,0
244.8,0.51787,3.520866894
245,0.27326,1.859630662
245.2,0.23814,1.622199891
245.4,0.32541,2.218829348
245.6,0.18682,1.275078629
245.8,1.0399,7.104366783
246,0.3571,2.441987577
246.2,0.54365,3.721280452
246.4,0.13823,0.947096721
246.6,0,0
246.8,0.64314,4.415037537
247,0.66247,4.55211195
247.2,0.13948,0.959347846
247.4,0.59644,4.10627456
247.6,0.11144,0.767960695
247.8,0.1832,1.263687345
248,0.000018754,0.000129486
248.2,0.25484,1.761218145
248.4,0,0
248.6,0.52363,3.625767154
248.8,0.24528,1.70001152
249,0.49525,3.435802262
249.2,0.036625,0.254328409
249.4,0.29693,2.063880266
249.6,0.71881,5.001005411
249.8,0.26835,1.868775893
250,0.72841,5.077425367
250.2,0.35741,2.49370999
250.4,0.35752,2.496839985
250.6,0.35776,2.500879708
250.8,0.12565,0.879171691
251,0.45882,3.213388656
251.2,0,0
251.4,0.26102,1.831524482
251.6,0.15174,1.065730364
251.8,0.104,0.731119646
252,0.26167,1.841265617
252.2,0.17782,1.25242016
252.4,0.091917,0.647995161
252.6,0.47042,3.319462142
252.8,0.51581,3.643151792
253,0.13178,0.931627127
253.2,0.58856,4.164741278
253.4,0.83051,5.882289059
253.6,0.75939,5.383567134
253.8,0.40119,2.846811259
254,0,0
254.2,0.085592,0.608481035
254.4,0.17227,1.225816632
254.6,0.2637,1.878138123
254.8,0.11147,0.794651125
255,0.36206,2.583447932
255.2,0.093425,0.667240655
255.4,0.21935,1.568038873
255.6,0,0
255.8,0,0
256,0,0
256.2,0,0
256.4,0.63059,4.52854563
256.6,0.36366,2.613992961
256.8,0.33995,2.445798702
257,0.11783,0.848511834
257.2,0.14316,1.031857332
257.4,1.1261,8.124009844
257.6,0.51337,3.706969959
257.8,0.48685,3.518669159
258,0.28912,2.091489353
258.2,0.16991,1.230241321
258.4,0.097449,0.706223541
258.6,0.53197,3.858735091
258.8,0.19657,1.427143585
259,0.094865,0.689364066
259.2,0.23781,1.7296751
259.4,0.44991,3.275302745
259.6,0.13914,1.013838498
259.8,0.21222,1.547724515
260,0,0
260.2,0.26789,1.957238674
260.4,0.1766,1.291419534
260.6,0.36754,2.69011118
260.8,0.58256,4.267709488
261,0.49041,3.595850901
261.2,0.26872,1.972105415
261.4,0.12962,0.952115278
261.6,0.36833,2.707955973
261.8,0.03524,0.259314621
262,0,0
262.2,0.51628,3.805821642
262.4,0.46913,3.461320123
262.6,0.74326,5.488761584
262.8,0.19603,1.448907982
263,0.51768,3.829692706
263.2,0.42282,3.130703623
263.4,0.39169,2.902768688
263.6,0,0
